"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ensembl_gene_id"	"chromosome_name"	"external_gene_name"	"padj"	"gene"
16.1344192749443	11.4183406653703	0.244623927595802	0.810802391005339	0.999055673530808	-4.59530761312889	"ENSG00000164344"	NA	NA	0.999055673530808	NA
-18.0455807051748	-94.7585554368304	-0.244531471291109	0.81087237438268	0.999055673530808	-4.59530762284974	"ENSG00000134250"	NA	NA	0.999055673530808	NA
-34.8341859500579	257.428620699504	-0.244409132479843	0.810964979481465	0.999055673530808	-4.59530763570691	"ENSG00000137478"	NA	NA	0.999055673530808	NA
12.6589081721351	-17.0318723073814	0.24439850528846	0.810973023938613	0.999055673530808	-4.59530763682347	"ENSG00000149948"	NA	NA	0.999055673530808	NA
46.3241517066981	473.184184453949	0.244377020186992	0.810989287568574	0.999055673530808	-4.5953076390807	"ENSG00000253267"	NA	NA	0.999055673530808	NA
-9.40812344389358	-47.8284980227486	-0.24420375811433	0.811120445543728	0.999055673530808	-4.59530765727649	"ENSG00000142065"	NA	NA	0.999055673530808	NA
13.61834962429	-78.9146045681037	0.244174613121552	0.811142508652519	0.999055673530808	-4.59530766033602	"ENSG00000074266"	NA	NA	0.999055673530808	NA
-24.8426660216301	5.46615827010152	-0.244128964881943	0.811177065256603	0.999055673530808	-4.59530766512728	"ENSG00000151743"	NA	NA	0.999055673530808	NA
6.62698650914565	5.29371101189492	0.244128760531688	0.811177219954648	0.999055673530808	-4.59530766514873	"ENSG00000124380"	NA	NA	0.999055673530808	NA
18.540312818828	197.979852862473	0.244048160514007	0.811238236749099	0.999055673530808	-4.59530767360639	"ENSG00000214381"	NA	NA	0.999055673530808	NA
8.18910532543628	-6.34551072850458	0.243873923070228	0.811370144488675	0.999055673530808	-4.59530769188042	"ENSG00000004975"	NA	NA	0.999055673530808	NA
-17.7470691674577	7.58741968344729	-0.24386433030301	0.811377406939005	0.999055673530808	-4.59530769288614	"ENSG00000274383"	NA	NA	0.999055673530808	NA
5.66109214560905	-49.7401533180119	0.243823394104897	0.811408398942715	0.999055673530808	-4.59530769717751	"ENSG00000099942"	NA	NA	0.999055673530808	NA
-8.34614421710182	4.73423992803273	-0.24380206535589	0.811424546657955	0.999055673530808	-4.59530769941313	"ENSG00000197696"	NA	NA	0.999055673530808	NA
7.81357208383881	13.9649794654738	0.243733421412574	0.811476516697816	0.999055673530808	-4.59530770660692	"ENSG00000227963"	NA	NA	0.999055673530808	NA
-12.5063628826174	-20.6759188714637	-0.243603059292528	0.811575215885448	0.999055673530808	-4.59530772026321	"ENSG00000240038"	NA	NA	0.999055673530808	NA
-9.98116666699158	-32.3255968317399	-0.243492252660379	0.811659111962214	0.999055673530808	-4.59530773186531	"ENSG00000173542"	NA	NA	0.999055673530808	NA
-10.7632151764265	-36.2019138495139	-0.243475635709121	0.811671693522329	0.999055673530808	-4.59530773360475	"ENSG00000163634"	NA	NA	0.999055673530808	NA
-15.6614617543833	0.0834643172279605	-0.243446891272082	0.811693457563569	0.999055673530808	-4.59530773661341	"ENSG00000275464"	NA	NA	0.999055673530808	NA
-14.1534505902415	-15.4735633197716	-0.243430878463584	0.811705581838887	0.999055673530808	-4.59530773828931	"ENSG00000215861"	NA	NA	0.999055673530808	NA
17.8843761919876	-15.9379211193278	0.243353134678082	0.811764447130286	0.999055673530808	-4.59530774642443	"ENSG00000125630"	NA	NA	0.999055673530808	NA
-5.57416301637857	-14.3822581960623	-0.24323057522519	0.811857247952139	0.999055673530808	-4.59530775924389	"ENSG00000107959"	NA	NA	0.999055673530808	NA
9.80920188708988	13.1952070859973	0.243127502385509	0.811935296006209	0.999055673530808	-4.5953077700202	"ENSG00000144331"	NA	NA	0.999055673530808	NA
6.3241660028685	-30.2698763064446	0.243121804552224	0.811939610538851	0.999055673530808	-4.59530777061577	"ENSG00000155827"	NA	NA	0.999055673530808	NA
-13.3964355716443	-39.8625067695485	-0.243069769234014	0.811979013196645	0.999055673530808	-4.59530777605426	"ENSG00000168876"	NA	NA	0.999055673530808	NA
44.2439188716054	-9.70759263339878	0.243032587422457	0.812007168675449	0.999055673530808	-4.59530777993962	"ENSG00000268758"	NA	NA	0.999055673530808	NA
6.62304301083915	7.06862720419864	0.242959962096559	0.812062164118383	0.999055673530808	-4.59530778752703	"ENSG00000231662"	NA	NA	0.999055673530808	NA
-9.59613427065359	8.46477130207343	-0.242849332736611	0.812145940079199	0.999055673530808	-4.59530779908057	"ENSG00000167130"	NA	NA	0.999055673530808	NA
-9.21773132812767	2.39428259939822	-0.242817377779204	0.812170138964224	0.999055673530808	-4.59530780241681	"ENSG00000181031"	NA	NA	0.999055673530808	NA
-7.85159458755857	-0.491106353937658	-0.242772268002624	0.812204300089154	0.999055673530808	-4.59530780712575	"ENSG00000110080"	NA	NA	0.999055673530808	NA
-17.0248130420413	37.0568087929372	-0.242564749286317	0.812361456859058	0.999055673530808	-4.59530782877722	"ENSG00000143951"	NA	NA	0.999055673530808	NA
11.1177767459053	-15.3550558882547	0.242541187839515	0.812379300804364	0.999055673530808	-4.59530783123436	"ENSG00000164823"	NA	NA	0.999055673530808	NA
-15.1722497428301	-99.7426186130862	-0.242518354420816	0.812396593492106	0.999055673530808	-4.59530783361535	"ENSG00000031823"	NA	NA	0.999055673530808	NA
10.0977493972648	3.96293580627435	0.242493153263333	0.81241567948556	0.999055673530808	-4.59530783624299	"ENSG00000186787"	NA	NA	0.999055673530808	NA
-6.48097681630546	-38.466872481868	-0.242423291238496	0.812468589860572	0.999055673530808	-4.59530784352585	"ENSG00000125834"	NA	NA	0.999055673530808	NA
21.2112684655152	139.127226319514	0.242362130046158	0.812514911405934	0.999055673530808	-4.59530784989999	"ENSG00000272411"	NA	NA	0.999055673530808	NA
-6.57875288705945	-14.2986072096086	-0.242287411852256	0.812571501597017	0.999055673530808	-4.59530785768489	"ENSG00000115425"	NA	NA	0.999055673530808	NA
6.46160943869158	-34.3914514990111	0.242252364000238	0.81259804657802	0.999055673530808	-4.59530786133571	"ENSG00000162385"	NA	NA	0.999055673530808	NA
12.7817390065271	12.7618590412853	0.242241979740842	0.812605911585022	0.999055673530808	-4.59530786241731	"ENSG00000228834"	NA	NA	0.999055673530808	NA
-29.1117888196538	-101.0602883017	-0.242227542972831	0.812616845985315	0.999055673530808	-4.59530786392093	"ENSG00000143162"	NA	NA	0.999055673530808	NA
-7.95256555914827	3.07846717975124	-0.242120823445059	0.812697676574741	0.999055673530808	-4.59530787503327	"ENSG00000265688"	NA	NA	0.999055673530808	NA
23.2855480322838	220.314942624615	0.242093509359231	0.8127183649368	0.999055673530808	-4.59530787787662	"ENSG00000203883"	NA	NA	0.999055673530808	NA
